x-axis,1,REF2
second,Volt,Volt
+1.26922500E-03,-3.41352438E-03,-3.53296277E-03
+1.26925000E-03,-3.48425496E-03,-3.52277075E-03
+1.26927500E-03,-3.39283912E-03,-3.56904566E-03
+1.26930000E-03,-3.40393900E-03,-3.59913358E-03
+1.26932500E-03,-3.40318793E-03,-3.61079517E-03
+1.26935000E-03,-3.41393775E-03,-3.58954217E-03
+1.26937500E-03,-3.39475312E-03,-3.58273945E-03
+1.26940000E-03,-3.36125691E-03,-3.54743235E-03
+1.26942500E-03,-3.32605172E-03,-3.52596738E-03
+1.26945000E-03,-3.33856780E-03,-3.53870869E-03
+1.26947500E-03,-3.35486244E-03,-3.47828109E-03
+1.26950000E-03,-3.28616676E-03,-3.50816579E-03
+1.26952500E-03,-3.33822619E-03,-3.54448296E-03
+1.26955000E-03,-3.46906205E-03,-3.52568637E-03
+1.26957500E-03,-3.34826474E-03,-3.52521481E-03
+1.26960000E-03,-3.35741202E-03,-3.55292832E-03
+1.26962500E-03,-3.39789669E-03,-3.54845990E-03
+1.26965000E-03,-3.42184190E-03,-3.54560880E-03
+1.26967500E-03,-3.43333947E-03,-3.51715026E-03
+1.26970000E-03,-3.42559935E-03,-3.53247492E-03
+1.26972500E-03,-3.50962451E-03,-3.51255762E-03
+1.26975000E-03,-3.50594847E-03,-3.45696417E-03
+1.26977500E-03,-3.36565718E-03,-3.48013630E-03
+1.26980000E-03,-3.43278891E-03,-3.50702879E-03
+1.26982500E-03,-3.49464718E-03,-3.50849746E-03
+1.26985000E-03,-3.41434570E-03,-3.50343114E-03
+1.26987500E-03,-3.34605436E-03,-3.53329142E-03
+1.26990000E-03,-3.25469973E-03,-3.52114952E-03
+1.26992500E-03,-3.29751750E-03,-3.40154921E-03
+1.26995000E-03,-3.37222593E-03,-3.43296137E-03
+1.26997500E-03,-3.44125055E-03,-3.42430043E-03
+1.27000000E-03,-3.40090428E-03,-3.40148077E-03
+1.27002500E-03,-3.36826406E-03,-3.45332703E-03
+1.27005000E-03,-3.33352471E-03,-3.40167253E-03
+1.27007500E-03,-3.24318437E-03,-3.29841570E-03
+1.27010000E-03,-3.17886726E-03,-3.38967264E-03
+1.27012500E-03,-3.16924479E-03,-3.39525575E-03
+1.27015000E-03,-3.21569941E-03,-3.36269904E-03
+1.27017500E-03,-3.32181698E-03,-3.35929979E-03
+1.27020000E-03,-3.31749179E-03,-3.37556458E-03
