x-axis,3,REF2
second,Volt,Volt
+1.26610000E-03,-10.54384399E-03,-3.54861759E-03
+1.26612500E-03,-10.54711148E-03,-3.52905366E-03
+1.26615000E-03,-10.54912317E-03,-3.55136739E-03
+1.26617500E-03,-10.54032534E-03,-3.46045478E-03
+1.26620000E-03,-10.55816251E-03,-3.44099004E-03
+1.26622500E-03,-10.54636282E-03,-3.47048489E-03
+1.26625000E-03,-10.56219071E-03,-3.49605404E-03
+1.26627500E-03,-10.56318812E-03,-3.47236904E-03
+1.26630000E-03,-10.54962308E-03,-3.48726797E-03
+1.26632500E-03,-10.55564609E-03,-3.51411162E-03
+1.26635000E-03,-10.56393677E-03,-3.52805355E-03
+1.26637500E-03,-10.57224917E-03,-3.46202686E-03
+1.26640000E-03,-10.54462159E-03,-3.49737044E-03
+1.26642500E-03,-10.54409032E-03,-3.45163313E-03
+1.26645000E-03,-10.54684826E-03,-3.51156022E-03
+1.26647500E-03,-10.56923284E-03,-3.50019893E-03
+1.26650000E-03,-10.55590448E-03,-3.46886215E-03
+1.26652500E-03,-10.56067169E-03,-3.49390968E-03
+1.26655000E-03,-10.55064219E-03,-3.50546967E-03
+1.26657500E-03,-10.56268097E-03,-3.54448476E-03
+1.26660000E-03,-10.55412224E-03,-3.55505790E-03
+1.26662500E-03,-10.57097166E-03,-3.54180462E-03
+1.26665000E-03,-10.56643148E-03,-3.53131320E-03
+1.26667500E-03,-10.56669953E-03,-3.45885857E-03
+1.26670000E-03,-10.53782339E-03,-3.50268611E-03
+1.26672500E-03,-10.54406620E-03,-3.49479131E-03
+1.26675000E-03,-10.54837692E-03,-3.49488266E-03
+1.26677500E-03,-10.53706026E-03,-3.52930332E-03
+1.26680000E-03,-10.55287850E-03,-3.58032584E-03
+1.26682500E-03,-10.54334167E-03,-3.56922476E-03
+1.26685000E-03,-10.55692118E-03,-3.62108006E-03
+1.26687500E-03,-10.54341403E-03,-3.42691273E-03
+1.26690000E-03,-10.56747472E-03,-3.53536040E-03
+1.26692500E-03,-10.55590448E-03,-3.54470668E-03
+1.26695000E-03,-10.56246358E-03,-3.44109316E-03
+1.26697500E-03,-10.55590448E-03,-3.51709689E-03
+1.26700000E-03,-10.55463421E-03,-3.55867997E-03
+1.26702500E-03,-10.56793603E-03,-3.47736721E-03
+1.26705000E-03,-10.56625028E-03,-3.50534183E-03
+1.26707500E-03,-10.54962308E-03,-3.47505370E-03
+1.26710000E-03,-10.55158652E-03,-3.45163313E-03
+1.26712500E-03,-10.55468004E-03,-3.57037774E-03
+1.26715000E-03,-10.53687423E-03,-3.56938577E-03
+1.26717500E-03,-10.55118069E-03,-3.62583913E-03
+1.26720000E-03,-10.56749643E-03,-3.52430334E-03
+1.26722500E-03,-10.56697722E-03,-3.53136445E-03
+1.26725000E-03,-10.55969118E-03,-3.50107965E-03
+1.26727500E-03,-10.55662178E-03,-3.56469845E-03
+1.26730000E-03,-10.55317791E-03,-3.53329142E-03
+1.26732500E-03,-10.55039585E-03,-3.47777968E-03
+1.26735000E-03,-10.55567262E-03,-3.50207765E-03
+1.26737500E-03,-10.57103920E-03,-3.43907031E-03
+1.26740000E-03,-10.55814562E-03,-3.45040929E-03
+1.26742500E-03,-10.55915026E-03,-3.49600188E-03
+1.26745000E-03,-10.55368505E-03,-3.55427789E-03
+1.26747500E-03,-10.54013931E-03,-3.47569382E-03
+1.26750000E-03,-10.53712539E-03,-3.51474871E-03
+1.26752500E-03,-10.54137581E-03,-3.55681481E-03
